Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7840614
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.664434
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.70155084
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.693828
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.845592
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.88046306
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6853627
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6234696
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.720363
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7797838
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8036443
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7259227
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8280319
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7822724
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.70400405
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.66868985
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.592741
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6310712
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.781659
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4373701
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5913848
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8344708
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6793152
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.64887196
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5815376
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6981732
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.77508426
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.63365793
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.81988716
