Model,Dataset,x,y,modality,category
FLAVA,mscoco,-5.99,-41.01,image,racquet
FLAVA,mscoco,-3.04,-40.88,image,racquet
FLAVA,mscoco,-5.63,-41.49,image,racquet
FLAVA,mscoco,-6.10,-33.28,image,racquet
FLAVA,mscoco,-7.24,-35.57,image,racquet
FLAVA,mscoco,-3.73,-40.72,image,racquet
FLAVA,mscoco,-5.89,-38.99,image,racquet
FLAVA,mscoco,-3.05,-35.17,image,racquet
FLAVA,mscoco,-4.56,-35.01,image,racquet
FLAVA,mscoco,-3.46,-36.39,image,racquet
FLAVA,mscoco,-4.46,-41.63,image,racquet
FLAVA,mscoco,-3.38,-42.47,image,racquet
FLAVA,mscoco,-1.27,-26.30,image,racquet
FLAVA,mscoco,-6.52,-35.54,image,racquet
FLAVA,mscoco,-7.62,-37.48,image,racquet
FLAVA,mscoco,-6.23,-40.22,image,racquet
FLAVA,mscoco,-6.32,-33.27,image,racquet
FLAVA,mscoco,-2.92,-39.48,image,racquet
FLAVA,mscoco,-5.19,-38.37,image,racquet
FLAVA,mscoco,-4.78,-40.26,image,racquet
FLAVA,mscoco,-8.39,-31.15,image,racquet
FLAVA,mscoco,-3.31,-41.23,image,racquet
FLAVA,mscoco,-6.95,-35.64,image,racquet
FLAVA,mscoco,-6.44,-37.66,image,racquet
FLAVA,mscoco,-7.29,-39.88,image,racquet
FLAVA,mscoco,-4.50,-38.19,image,racquet
FLAVA,mscoco,-8.36,-32.79,image,racquet
FLAVA,mscoco,-8.30,-30.56,image,racquet
FLAVA,mscoco,-5.97,-42.35,image,racquet
FLAVA,mscoco,-4.84,-38.21,image,racquet
FLAVA,mscoco,-8.30,-32.71,image,racquet
FLAVA,mscoco,25.05,8.39,image,microwave oven
FLAVA,mscoco,28.71,10.64,image,microwave oven
FLAVA,mscoco,26.80,12.27,image,microwave oven
FLAVA,mscoco,29.91,8.92,image,microwave oven
FLAVA,mscoco,22.91,6.75,image,microwave oven
FLAVA,mscoco,27.73,11.25,image,microwave oven
FLAVA,mscoco,28.90,12.24,image,microwave oven
FLAVA,mscoco,23.61,7.40,image,microwave oven
FLAVA,mscoco,25.16,12.01,image,microwave oven
FLAVA,mscoco,23.40,7.65,image,microwave oven
FLAVA,mscoco,18.12,6.85,image,microwave oven
FLAVA,mscoco,20.10,7.25,image,microwave oven
FLAVA,mscoco,26.09,11.17,image,microwave oven
FLAVA,mscoco,24.62,6.79,image,microwave oven
FLAVA,mscoco,28.32,8.90,image,microwave oven
FLAVA,mscoco,27.20,9.11,image,microwave oven
FLAVA,mscoco,26.27,11.17,image,microwave oven
FLAVA,mscoco,29.96,9.15,image,microwave oven
FLAVA,mscoco,26.38,9.62,image,microwave oven
FLAVA,mscoco,28.08,10.58,image,microwave oven
FLAVA,mscoco,25.15,12.27,image,microwave oven
FLAVA,mscoco,28.22,11.99,image,microwave oven
FLAVA,mscoco,28.66,11.44,image,microwave oven
FLAVA,mscoco,27.92,7.39,image,microwave oven
FLAVA,mscoco,25.34,14.11,image,microwave oven
FLAVA,mscoco,29.12,12.29,image,microwave oven
FLAVA,mscoco,24.51,7.50,image,microwave oven
FLAVA,mscoco,27.73,13.46,image,microwave oven
FLAVA,mscoco,26.94,8.86,image,microwave oven
FLAVA,mscoco,26.82,8.30,image,microwave oven
FLAVA,mscoco,24.34,9.14,image,microwave oven
FLAVA,mscoco,30.76,11.19,image,microwave oven
FLAVA,mscoco,25.78,13.28,image,microwave oven
FLAVA,mscoco,27.73,9.37,image,microwave oven
FLAVA,mscoco,29.02,10.22,image,microwave oven
FLAVA,mscoco,29.51,11.62,image,microwave oven
FLAVA,mscoco,26.01,8.35,image,microwave oven
FLAVA,mscoco,22.14,8.55,image,microwave oven
FLAVA,mscoco,27.09,13.97,image,microwave oven
FLAVA,mscoco,24.58,10.23,image,microwave oven
FLAVA,mscoco,31.36,9.72,image,microwave oven
FLAVA,mscoco,24.64,11.54,image,microwave oven
FLAVA,mscoco,29.21,9.76,image,microwave oven
FLAVA,mscoco,25.66,8.26,image,microwave oven
FLAVA,mscoco,22.84,8.60,image,microwave oven
FLAVA,mscoco,27.16,8.15,image,microwave oven
FLAVA,mscoco,31.32,9.58,image,microwave oven
FLAVA,mscoco,24.84,8.83,image,microwave oven
FLAVA,mscoco,31.00,11.11,image,microwave oven
FLAVA,mscoco,28.90,11.11,image,microwave oven
FLAVA,mscoco,12.54,-15.25,image,umbrella
FLAVA,mscoco,6.85,-19.38,image,umbrella
FLAVA,mscoco,2.93,-18.62,image,umbrella
FLAVA,mscoco,4.82,-8.76,image,umbrella
FLAVA,mscoco,7.95,-17.17,image,umbrella
FLAVA,mscoco,7.86,-9.53,image,umbrella
FLAVA,mscoco,4.64,-13.75,image,umbrella
FLAVA,mscoco,14.01,-18.82,image,umbrella
FLAVA,mscoco,5.55,-13.10,image,umbrella
