Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
FLAVA,mscoco,Txt-Txt,Pos,0.53037477
FLAVA,mscoco,Txt-Txt,Pos,0.67251146
FLAVA,mscoco,Txt-Txt,Pos,0.96172917
FLAVA,mscoco,Txt-Txt,Pos,0.64966506
FLAVA,mscoco,Txt-Txt,Pos,0.48275006
FLAVA,mscoco,Txt-Txt,Pos,0.7462837
FLAVA,mscoco,Txt-Txt,Pos,0.70014286
FLAVA,mscoco,Txt-Txt,Pos,0.7543996
FLAVA,mscoco,Txt-Txt,Pos,0.69134
FLAVA,mscoco,Txt-Txt,Pos,0.79359245
FLAVA,mscoco,Txt-Txt,Pos,0.65301156
FLAVA,mscoco,Txt-Txt,Pos,0.58846855
FLAVA,mscoco,Txt-Txt,Pos,0.8218278
FLAVA,mscoco,Txt-Txt,Pos,0.7768666
FLAVA,mscoco,Txt-Txt,Pos,0.816185
FLAVA,mscoco,Txt-Txt,Pos,0.6789118
FLAVA,mscoco,Txt-Txt,Pos,0.76528406
FLAVA,mscoco,Txt-Txt,Pos,0.58236533
FLAVA,mscoco,Txt-Txt,Pos,0.5702863
FLAVA,mscoco,Txt-Txt,Pos,0.8930664
FLAVA,mscoco,Txt-Txt,Pos,0.87393916
FLAVA,mscoco,Txt-Txt,Pos,0.5841583
FLAVA,mscoco,Txt-Txt,Pos,0.30741382
FLAVA,mscoco,Txt-Txt,Pos,0.94768673
FLAVA,mscoco,Txt-Txt,Pos,0.7062743
FLAVA,mscoco,Txt-Txt,Pos,0.6560328
FLAVA,mscoco,Txt-Txt,Pos,0.7684269
FLAVA,mscoco,Txt-Txt,Pos,0.7136332
FLAVA,mscoco,Txt-Txt,Pos,0.8172981
FLAVA,mscoco,Txt-Txt,Pos,0.8062359
FLAVA,mscoco,Txt-Txt,Pos,0.5528977
FLAVA,mscoco,Txt-Txt,Pos,0.6639994
FLAVA,mscoco,Txt-Txt,Pos,0.8538704
FLAVA,mscoco,Txt-Txt,Pos,0.7623257
FLAVA,mscoco,Txt-Txt,Pos,0.7437758
FLAVA,mscoco,Txt-Txt,Pos,0.86267686
FLAVA,mscoco,Txt-Txt,Pos,0.65342283
FLAVA,mscoco,Txt-Txt,Pos,0.6154115
FLAVA,mscoco,Txt-Txt,Pos,0.747206
FLAVA,mscoco,Txt-Txt,Pos,0.7307809
FLAVA,mscoco,Txt-Txt,Pos,0.6524928
FLAVA,mscoco,Txt-Txt,Pos,0.644067
FLAVA,mscoco,Txt-Txt,Pos,0.64104354
FLAVA,mscoco,Txt-Txt,Pos,0.8268578
FLAVA,mscoco,Txt-Txt,Pos,0.9439693
FLAVA,mscoco,Txt-Txt,Pos,0.8506144
FLAVA,mscoco,Txt-Txt,Pos,0.5622175
FLAVA,mscoco,Txt-Txt,Pos,0.76103646
FLAVA,mscoco,Txt-Txt,Pos,0.66213274
FLAVA,mscoco,Txt-Txt,Pos,0.91130733
FLAVA,mscoco,Txt-Txt,Pos,0.7443226
FLAVA,mscoco,Txt-Txt,Pos,0.63966054
FLAVA,mscoco,Txt-Txt,Pos,0.6279117
FLAVA,mscoco,Txt-Txt,Pos,0.5472632
FLAVA,mscoco,Txt-Txt,Pos,0.71066844
FLAVA,mscoco,Txt-Txt,Pos,0.6753505
FLAVA,mscoco,Txt-Txt,Pos,0.7494419
FLAVA,mscoco,Txt-Txt,Pos,0.7778191
FLAVA,mscoco,Txt-Txt,Pos,0.7217002
FLAVA,mscoco,Txt-Txt,Pos,0.5323044
FLAVA,mscoco,Txt-Txt,Pos,0.5817765
FLAVA,mscoco,Txt-Txt,Pos,0.8326166
