Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_RN50,mscoco,Txt-Txt,Pos,0.69923687
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7362466
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7168201
CLIP_RN50,mscoco,Txt-Txt,Pos,0.82811743
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8133985
CLIP_RN50,mscoco,Txt-Txt,Pos,0.72822464
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6915331
CLIP_RN50,mscoco,Txt-Txt,Pos,0.47390488
CLIP_RN50,mscoco,Txt-Txt,Pos,0.60345125
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7740039
CLIP_RN50,mscoco,Txt-Txt,Pos,0.43906856
CLIP_RN50,mscoco,Txt-Txt,Pos,0.47146487
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8470541
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6166706
CLIP_RN50,mscoco,Txt-Txt,Pos,0.65827376
CLIP_RN50,mscoco,Txt-Txt,Pos,0.56871676
CLIP_RN50,mscoco,Txt-Txt,Pos,0.70767736
CLIP_RN50,mscoco,Txt-Txt,Pos,0.77151674
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6177667
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7685992
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5468374
CLIP_RN50,mscoco,Txt-Txt,Pos,0.3621866
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6817186
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7577153
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8074056
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5857217
CLIP_RN50,mscoco,Txt-Txt,Pos,0.61190796
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5776933
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6208094
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8538671
CLIP_RN50,mscoco,Txt-Txt,Pos,0.80779153
CLIP_RN50,mscoco,Txt-Txt,Pos,0.3513027
CLIP_RN50,mscoco,Txt-Txt,Pos,0.36396024
CLIP_RN50,mscoco,Txt-Txt,Pos,0.85907394
CLIP_RN50,mscoco,Txt-Txt,Pos,0.621923
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6910652
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7493022
CLIP_RN50,mscoco,Txt-Txt,Pos,0.4656603
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8081092
CLIP_RN50,mscoco,Txt-Txt,Pos,0.74103576
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6544185
CLIP_RN50,mscoco,Txt-Txt,Pos,0.41746026
CLIP_RN50,mscoco,Txt-Txt,Pos,0.77929884
CLIP_RN50,mscoco,Txt-Txt,Pos,0.86078596
CLIP_RN50,mscoco,Txt-Txt,Pos,0.67209125
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6719146
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5697394
CLIP_RN50,mscoco,Txt-Txt,Pos,0.60470736
CLIP_RN50,mscoco,Txt-Txt,Pos,0.64583063
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5592824
CLIP_RN50,mscoco,Txt-Txt,Pos,0.2621789
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5547103
CLIP_RN50,mscoco,Txt-Txt,Pos,0.49811947
CLIP_RN50,mscoco,Txt-Txt,Pos,0.65538275
CLIP_RN50,mscoco,Txt-Txt,Pos,0.85223085
CLIP_RN50,mscoco,Txt-Txt,Pos,0.74285346
CLIP_RN50,mscoco,Txt-Txt,Pos,0.3919042
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7396497
CLIP_RN50,mscoco,Txt-Txt,Pos,0.60315925
CLIP_RN50,mscoco,Txt-Txt,Pos,0.85427547
CLIP_RN50,mscoco,Txt-Txt,Pos,0.696974
CLIP_RN50,mscoco,Txt-Txt,Pos,0.47149986
CLIP_RN50,mscoco,Txt-Txt,Pos,0.71804905
CLIP_RN50,mscoco,Txt-Txt,Pos,0.47690594
CLIP_RN50,mscoco,Txt-Txt,Pos,0.43519944
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6076554
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5876845
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6076529
CLIP_RN50,mscoco,Txt-Txt,Pos,0.69263
CLIP_RN50,mscoco,Txt-Txt,Pos,0.60087144
CLIP_RN50,mscoco,Txt-Txt,Pos,0.39846396
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7020728
CLIP_RN50,mscoco,Txt-Txt,Pos,0.65521306
CLIP_RN50,mscoco,Txt-Txt,Pos,0.53747314
CLIP_RN50,mscoco,Txt-Txt,Pos,0.48851785
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6636325
CLIP_RN50,mscoco,Txt-Txt,Pos,0.814039
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7000158
CLIP_RN50,mscoco,Txt-Txt,Pos,0.4917545
CLIP_RN50,mscoco,Txt-Txt,Pos,0.44031832
CLIP_RN50,mscoco,Txt-Txt,Pos,0.67219996
CLIP_RN50,mscoco,Txt-Txt,Pos,0.69800764
CLIP_RN50,mscoco,Txt-Txt,Pos,0.51759535
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6647999
CLIP_RN50,mscoco,Txt-Txt,Pos,0.73593783
CLIP_RN50,mscoco,Txt-Txt,Pos,0.39890522
CLIP_RN50,mscoco,Txt-Txt,Pos,0.43796802
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7427215
CLIP_RN50,mscoco,Txt-Txt,Pos,0.67981285
CLIP_RN50,mscoco,Txt-Txt,Pos,0.81620157
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5204851
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5300166
CLIP_RN50,mscoco,Txt-Txt,Pos,0.55844676
CLIP_RN50,mscoco,Txt-Txt,Pos,0.4095688
CLIP_RN50,mscoco,Txt-Txt,Pos,0.690641
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5731975
CLIP_RN50,mscoco,Txt-Txt,Pos,0.89889276
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5356662
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6727981
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6156374
CLIP_RN50,mscoco,Txt-Txt,Pos,0.558713
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5668402
