Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CyCLIP,mscoco,Txt-Txt,Pos,0.89227855
CyCLIP,mscoco,Txt-Txt,Pos,0.85931194
CyCLIP,mscoco,Txt-Txt,Pos,0.91034865
CyCLIP,mscoco,Txt-Txt,Pos,0.8827296
CyCLIP,mscoco,Txt-Txt,Pos,0.7779043
CyCLIP,mscoco,Txt-Txt,Pos,0.845128
CyCLIP,mscoco,Txt-Txt,Pos,0.9629434
CyCLIP,mscoco,Txt-Txt,Pos,0.8652347
CyCLIP,mscoco,Txt-Txt,Pos,0.79098755
CyCLIP,mscoco,Txt-Txt,Pos,0.8736319
CyCLIP,mscoco,Txt-Txt,Pos,0.8811518
CyCLIP,mscoco,Txt-Txt,Pos,0.89253664
CyCLIP,mscoco,Txt-Txt,Pos,0.9045132
CyCLIP,mscoco,Txt-Txt,Pos,0.9368569
CyCLIP,mscoco,Txt-Txt,Pos,0.81034064
CyCLIP,mscoco,Txt-Txt,Pos,0.8377208
CyCLIP,mscoco,Txt-Txt,Pos,0.89600223
CyCLIP,mscoco,Txt-Txt,Pos,0.9116198
CyCLIP,mscoco,Txt-Txt,Pos,0.8264505
CyCLIP,mscoco,Txt-Txt,Pos,0.8816948
CyCLIP,mscoco,Txt-Txt,Pos,0.8501531
CyCLIP,mscoco,Txt-Txt,Pos,0.81784034
CyCLIP,mscoco,Txt-Txt,Pos,0.79414964
CyCLIP,mscoco,Txt-Txt,Pos,0.95210844
CyCLIP,mscoco,Txt-Txt,Pos,0.94719076
CyCLIP,mscoco,Txt-Txt,Pos,0.83287334
CyCLIP,mscoco,Txt-Txt,Pos,0.8023111
CyCLIP,mscoco,Txt-Txt,Pos,0.96234703
CyCLIP,mscoco,Txt-Txt,Pos,0.8567213
CyCLIP,mscoco,Txt-Txt,Pos,0.7943046
CyCLIP,mscoco,Txt-Txt,Pos,0.91056234
CyCLIP,mscoco,Txt-Txt,Pos,0.8268671
CyCLIP,mscoco,Txt-Txt,Pos,0.92060935
CyCLIP,mscoco,Txt-Txt,Pos,0.83350074
CyCLIP,mscoco,Txt-Txt,Pos,0.88795364
CyCLIP,mscoco,Txt-Txt,Pos,0.8079791
CyCLIP,mscoco,Txt-Txt,Pos,0.91868275
CyCLIP,mscoco,Txt-Txt,Pos,0.9275439
CyCLIP,mscoco,Txt-Txt,Pos,0.8652265
CyCLIP,mscoco,Txt-Txt,Pos,0.94315106
CyCLIP,mscoco,Txt-Txt,Pos,0.8496713
CyCLIP,mscoco,Txt-Txt,Pos,0.8455183
CyCLIP,mscoco,Txt-Txt,Pos,0.8573836
CyCLIP,mscoco,Txt-Txt,Pos,0.8608871
CyCLIP,mscoco,Txt-Txt,Pos,0.78383666
CyCLIP,mscoco,Txt-Txt,Pos,0.84770775
